position,episode_name,series_name,episode_number,airdate,duration,tv_rating,episode_rating,votes
1,Everyone's Waiting,Six Feet Under,S5.E12,2001–2005,1h 13m,TV-MA,9.9,(19K)
2,The View from Halfway Down,BoJack Horseman,S6.E15,2014–2020,26m,TV-MA,9.9,(33K)
3,End of the Prologue,Vinland Saga,S1.E24,2019–2023,24m,TV-MA,9.9,(42K)
4,"Sozin's Comet, Part 4: Avatar Aang",Avatar: The Last Airbender,S3.E21,2005–2008,21m,TV-Y7,9.9,(27K)
5,Plan and Execution,Better Call Saul,S6.E7,2015–2022,50m,TV-14,9.9,(87K)
6,Re;,Code Geass: Lelouch of the Rebellion,S2.E25,2006–2008,24m,TV-14,9.9,(20K)
7,The Rains of Castamere,Game of Thrones,S3.E9,2011–2019,51m,TV-MA,9.9,(183K)
8,I Thought You'd Never Shut Up,Invincible,S3.E8,2021– ,46m,TV-MA,9.9,(99K)
9,Don't Do Anything Rash,Invincible,S4.E7,2021– ,53m,TV-MA,9.9,(51K)
10,Re:Zero kara Hajimaru Isekai Seikatsu,Re: Zero - Starting Life in Another World,S4.E11,2016– ,,,9.9,(64K)
11,Omae wa Dare da,Re: Zero - Starting Life in Another World,S4.E8,2016– ,,,9.9,(45K)
12,Battle of the Bastards,Game of Thrones,S6.E9,2011–2019,,TV-MA,9.9,(309K)
13,The Winds of Winter,Game of Thrones,S6.E10,2011–2019,1h 8m,TV-MA,9.9,(228K)
14,A Regular Epic Final Battle,Regular Show,S8.E27,2010–2017,33m,TV-PG,9.9,(9.4K)
15,407 Proxy Authentication Required,Mr. Robot,S4.E7,2015–2019,56m,TV-MA,9.9,(47K)
16,Victory and Death,Star Wars: The Clone Wars,S7.E12,2008–2020,23m,TV-PG,9.9,(25K)
17,The Secret Box/Band Geeks,SpongeBob SquarePants,S2.E15,1999– ,23m,,9.8,(7.6K)
18,Blink,Doctor Who,S3.E10,2005–2022,45m,TV-PG,9.8,(28K)
19,Midnight Sun,Attack on Titan,S3.E18,2013–2023,24m,TV-MA,9.8,(96K)
20,That Day,Attack on Titan,S3.E20,2013–2023,24m,TV-MA,9.8,(76K)
21,"Hello, Elliot",Mr. Robot,S4.E13,2015–2019,51m,TV-MA,9.8,(31K)
22,Saul Gone,Better Call Saul,S6.E13,2015–2022,1h 9m,TV-14,9.8,(79K)
23,"Sozin's Comet, Part 3: Into the Inferno",Avatar: The Last Airbender,S3.E20,2005–2008,22m,TV-Y7,9.8,(16K)
24,Point and Shoot,Better Call Saul,S6.E8,2015–2022,50m,TV-14,9.8,(57K)
25,The Great End,Tomorrow's Joe,S2.E47,1970–1981,24m,,9.8,(2.3K)
26,Chapter 16: The Rescue,The Mandalorian,S2.E8,2019–2023,44m,TV-14,9.8,(68K)
27,Nakama no Itami wa Waga Itami: Zoro Kesshi no Tatakai,One Piece,S1.E377,1999– ,24m,TV-14,9.8,(67K)
28,Declaration of War,Attack on Titan,S4.E5,2013–2023,24m,TV-14,9.8,(104K)
29,Daichi no hate,Clannad,S2.E18,2007–2009,24m,TV-PG,9.8,(4.3K)
30,The War Hammer Titan,Attack on Titan,S4.E6,2013–2023,24m,TV-14,9.8,(104K)
31,Assault,Attack on Titan,S4.E7,2013–2023,24m,TV-MA,9.8,(131K)
32,Black Oath,Black Clover,S4.E13,2017–2021,24m,,9.8,(7.5K)
33,The Getaway,Dexter,S4.E12,2006–2013,51m,TV-MA,9.8,(44K)
34,Kiesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,One Piece,S1.E405,1999– ,24m,TV-14,9.8,(57K)
35,Modern Warfare,Community,S1.E23,2009–2015,20m,TV-PG,9.8,(17K)
36,Face Off,Breaking Bad,S4.E13,2008–2013,50m,TV-14,9.8,(157K)
37,Memories of the Future,Attack on Titan,S4.E20,2013–2023,24m,TV-14,9.8,(106K)
38,Never Give Up,Demon Slayer: Kimetsu no Yaiba,S2.E17,2019–2024,24m,TV-MA,9.8,(32K)
39,"From You, 2000 Years Ago",Attack on Titan,S4.E21,2013–2023,24m,TV-MA,9.8,(103K)
40,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,One Piece,S1.E485,1999– ,24m,TV-14,9.8,(60K)
41,"Goodbye, Michael",The Office,S7.E22,2005–2013,30m,TV-PG,9.8,(22K)
42,The King,Fighting Spirit: New Challenger,S1.E24,,23m,,9.8,(1.4K)
43,Remedial Chaos Theory,Community,S3.E4,2009–2015,22m,TV-PG,9.8,(15K)
44,"Dual Confessions, Part 2/The Shuchiin Afterparty",Kaguya-sama: Love Is War,S3.E13,2019–2023,25m,TV-14,9.8,(5.8K)
45,Connor's Wedding,Succession,S4.E3,2018–2023,1h 2m,TV-MA,9.8,(45K)
46,Felina,Breaking Bad,S5.E16,2008–2013,55m,TV-14,9.8,(292K)
47,Ghosts Aren't the Only Ones Who Run Wild Around Graveyards,Gintama,S2.E10,2005–2021,24m,TV-14,9.8,(3.8K)
48,Maiden Heaven: Part 2,JoJo's Bizarre Adventure,S5.E37,2012– ,25m,TV-14,9.8,(4.9K)
49,It's a Wonderful World,JoJo's Bizarre Adventure,S5.E38,2012– ,25m,TV-14,9.8,(6K)
50,Finale,The Office,S9.E23,2005–2013,51m,TV-PG,9.8,(27K)
51,Weirdmageddon 4: Somewhere in the Woods,Gravity Falls,S2.E21,2012–2016,25m,TV-Y7,9.8,(7.8K)
52,The Sign,Bluey,S3.E49,2018– ,28m,TV-G,9.8,(5.7K)
53,A Step Further,Fighting Spirit,S1.E75,2000–2002,23m,,9.8,(2.2K)
54,Mizumono,Hannibal,S2.E13,2013–2015,44m,TV-14,9.8,(28K)
55,Zero × and × Rose,Hunter X Hunter,S1.E126,2011–2014,23m,TV-14,9.8,(18K)
56,Anger × and × Light,Hunter X Hunter,S1.E131,2011–2014,23m,TV-MA,9.8,(20K)
57,Kuma's Life,One Piece,S1.E1136,1999– ,24m,,9.8,(47K)
58,Charlie Work,It's Always Sunny in Philadelphia,S10.E4,2005– ,23m,TV-MA,9.8,(13K)
59,This Person × and × This Moment,Hunter X Hunter,S1.E135,2011–2014,23m,TV-14,9.8,(14K)
60,I'll Believe in Anything,Heated Rivalry,S1.E5,2025– ,55m,TV-MA,9.8,(75K)
61,The Cottage,Heated Rivalry,S1.E6,2025– ,52m,TV-MA,9.8,(48K)
62,The Final Boss!!,My Hero Academia,S8.E3,2016–2026,24m,,9.8,(21K)
63,Hardhome,Game of Thrones,S5.E8,2011–2019,1h 1m,TV-MA,9.8,(143K)
64,Quirk: Explosion!!,My Hero Academia,S8.E4,2016–2026,24m,,9.8,(17K)
65,Izuku Midoriya: Rising,My Hero Academia,S8.E8,2016–2026,24m,,9.8,(30K)
66,The Upheaval of an Era! The Color of the Supreme King That Leads Luffy,One Piece,S1.E1153,1999– ,,,9.8,(11K)
67,Sendai Colony,Jujutsu Kaisen,S3.E12,2020– ,27m,,9.8,(44K)
68,If-Then-Else,Person of Interest,S4.E11,2011–2016,43m,TV-14,9.8,(15K)
69,On a Bus,Dimension 20,S29.E1,2018– ,,,9.8,(1.6K)
70,Kanshi-tô no Bannin,Re: Zero - Starting Life in Another World,S4.E3,2016– ,,,9.8,(30K)
71,Zangai,Re: Zero - Starting Life in Another World,S4.E9,2016– ,,,9.8,(41K)
72,Satsujin wa Kuse ni Naru,Re: Zero - Starting Life in Another World,S4.E10,2016– ,,,9.8,(34K)
73,Not What He Seems,Gravity Falls,S2.E11,2012–2016,23m,TV-Y7,9.8,(11K)
74,Return 0,Person of Interest,S5.E13,2011–2016,43m,TV-14,9.8,(14K)
75,Spring Breeze,Your Lie in April,S1.E22,2014–2015,23m,,9.8,(6.6K)
76,The Magician Doesn't Return,Legend of the Galactic Heroes,S3.E28,1988–1997,27m,TV-MA,9.8,(3.5K)
77,Weirdmageddon 3: Take Back the Falls,Gravity Falls,S2.E20,2012–2016,44m,TV-Y7,9.8,(11K)
78,The Ricklantis Mixup,Rick and Morty,S3.E7,2013– ,22m,TV-14,9.8,(43K)
79,Those Who Protect Against All Odds,Gintama,S4.E39,2005–2021,24m,TV-14,9.8,(3.3K)
80,Twilight of the Apprentice: Part 2,Star Wars: Rebels,S2.E22,2014–2018,21m,TV-Y7,9.8,(10K)
81,Sworn Enemy,Gintama,S4.E40,2005–2021,24m,TV-14,9.8,(5.4K)
82,Karma,Gintama,S4.E49,2005–2021,24m,TV-14,9.8,(3.1K)
83,The Choices,The Amazing World of Gumball,S5.E6,2011–2019,11m,TV-PG,9.8,(4.1K)
84,Kyouki no Sotogawa,Re: Zero - Starting Life in Another World,S1.E15,2016– ,24m,,9.8,(24K)
85,Dream: To See It to the End,Legend of the Galactic Heroes,S4.E24,1988–1997,32m,TV-MA,9.8,(3.6K)
86,Robbie's Dream Team,LazyTown,S4.E12,2002–2014,23m,TV-Y7,9.8,(8.1K)
87,Time's Arrow,BoJack Horseman,S4.E11,2014–2020,25m,TV-MA,9.8,(20K)
88,Warrior,Attack on Titan,S2.E6,2013–2023,24m,TV-MA,9.8,(73K)
89,Loved Ones Will Always Watch Over You,Violet Evergarden,S1.E10,,24m,,9.8,(9.9K)
90,Come Along With Me,Adventure Time,S10.E13,2010–2018,44m,TV-PG,9.8,(6.4K)
91,Free Churro,BoJack Horseman,S5.E6,2014–2020,26m,TV-MA,9.8,(25K)
92,One For All,My Hero Academia,S3.E11,2016–2026,23m,TV-14,9.8,(16K)
93,Rinascimento of Image Formation -Return of Phoenix-,Steins;Gate 0,S1.E21,,,,9.8,(2.8K)
94,Vichnaya Pamyat,Chernobyl,S1.E5,,1h 12m,TV-MA,9.8,(73K)
95,The Phantom Apprentice,Star Wars: The Clone Wars,S7.E10,2008–2020,27m,,9.8,(21K)
96,Shattered,Star Wars: The Clone Wars,S7.E11,2008–2020,26m,TV-PG,9.8,(19K)
97,Where I Really Come From,Invincible,S1.E8,2021– ,45m,TV-MA,9.8,(41K)
98,Perfect Game,Attack on Titan,S3.E16,2013–2023,24m,TV-MA,9.8,(121K)
99,Yusha,Attack on Titan,S3.E17,2013–2023,24m,TV-MA,9.8,(167K)
100,Hush,Buffy the Vampire Slayer,S4.E10,1997–2003,43m,TV-PG,9.7,(9.9K)
101,"Once More, with Feeling",Buffy the Vampire Slayer,S6.E7,1997–2003,50m,TV-PG,9.7,(12K)
102,The Body,Buffy the Vampire Slayer,S5.E16,1997–2003,,TV-PG,9.7,(9.3K)
103,On the Beach,ER,S8.E21,1994–2009,,TV-14,9.7,(2.5K)
104,Papa's Got a Brand New Excuse,The Fresh Prince of Bel-Air,S4.E24,1990–1996,23m,TV-PG,9.7,(4.7K)
105,The One Where Everybody Finds Out,Friends,S5.E14,1994–2004,22m,TV-PG,9.7,(16K)
106,My Screwup,Scrubs,S3.E14,2001–2010,24m,TV-14,9.7,(6.8K)
107,All Alone,Six Feet Under,S5.E10,2001–2005,57m,TV-MA,9.7,(6.7K)
108,Long Term Parking,The Sopranos,S5.E12,1999–2007,57m,TV-MA,9.7,(16K)
109,Pine Barrens,The Sopranos,S3.E11,1999–2007,,TV-MA,9.7,(22K)
110,Two Cathedrals,The West Wing,S2.E22,1999–2006,43m,TV-14,9.7,(5.3K)
111,"With Tired Eyes, Tired Minds, Tired Souls, We Slept",One Tree Hill,S3.E16,2003–2012,44m,TV-14,9.7,(2.5K)
112,The Constant,Lost,S4.E5,2004–2010,43m,TV-14,9.7,(21K)
113,The Blue Comet,The Sopranos,S6.E20,1999–2007,51m,TV-MA,9.7,(14K)
114,Attack Titan,Attack on Titan,S3.E21,2013–2023,24m,TV-MA,9.7,(50K)
115,Beneath a Sky on the Verge of Falling,JoJo's Bizarre Adventure,S4.E28,2012– ,25m,TV-MA,9.7,(5K)
116,Luffy vs Usopp! Butsukaru Otoko no Iji,One Piece,S1.E236,1999– ,24m,TV-14,9.7,(11K)
117,Hinokami,Demon Slayer: Kimetsu no Yaiba,S1.E19,2019–2024,24m,TV-MA,9.7,(24K)
118,Ikitai to Ie! Oretachi wa Nakama da!!,One Piece,S1.E278,1999– ,24m,TV-14,9.7,(22K)
119,Kobushi ni Kometa Omoi! Luffy Konshin no Gatling,One Piece,S1.E309,1999– ,23m,TV-14,9.7,(23K)
120,Arigatou Merry! Yuki ni Kemuru Wakare no Umi,One Piece,S1.E312,1999– ,23m,TV-14,9.7,(23K)
121,Last 10 Seconds! A Perfect Conclusion,Slam Dunk,S1.E59,1993–1996,23m,TV-PG,9.7,(1.8K)
122,Julius Novachrono,Black Clover,S2.E42,2017–2021,24m,TV-14,9.7,(4.5K)
123,We Won't Lose to You,Black Clover,S2.E49,2017–2021,24m,TV-14,9.7,(3.5K)
124,Enter the Dragon,Warrior,S2.E9,2019–2023,57m,TV-MA,9.7,(3.5K)
125,This Is Not for Tears,Succession,S2.E10,2018–2023,1h 14m,TV-MA,9.7,(21K)
126,Together Again,Adventure Time: Distant Lands,S1.E3,2020–2021,46m,,9.7,(3.4K)
127,Iskambilden Ev,The Rose and the Thorn,S1.E3,2004–2005,,,9.7,(1.1K)
128,Infinite 100%,My Hero Academia,S4.E13,2016–2026,24m,TV-14,9.7,(9K)
129,The Final Attack,Black Clover,S3.E17,2017–2021,,,9.7,(3.7K)
