series_name,tmdb_id,genre_ids,genres,origin_country,original_language,first_air_date,overview,keywords
Vinland Saga,88803,"[16, 10768, 10759, 18]","['Animation', 'War & Politics', 'Action & Adventure', 'Drama']",['JP'],ja,2019-07-08,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.","['swordplay', 'vandalism', 'mercenary', 'exploration', 'vikings (norsemen)', 'revenge', 'travel', 'gore', 'survival', 'disaster', 'pirate', 'based on manga', 'massacre', 'historical', 'medieval', 'norse mythology', 'seinen', 'anime', 'drastic change of life', 'time skip', 'intense', 'adventure', 'powerful']"
Avatar: The Last Airbender,82452,"[10759, 18, 10751, 10765]","['Action & Adventure', 'Drama', 'Family', 'Sci-Fi & Fantasy']",['US'],en,2024-02-22,A young boy known as the Avatar must master the four elemental powers to save a world at war — and fight a ruthless enemy bent on stopping him.,"['saving the world', 'monk', 'child hero', 'reincarnation', 'based on cartoon', 'live action remake', 'arrogant', 'conceited', 'dubious']"
Better Call Saul,60059,"[80, 18]","['Crime', 'Drama']",['US'],en,2015-02-08,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".","['new mexico', 'moral conflict', 'crooked lawyer', 'prequel', 'romance', 'dark comedy', 'family relationships', 'tragedy', 'lawyer', 'brother against brother', 'spin off', 'neo-western', 'albuquerque, new mexico', 'criminal lawyer', 'fall from grace', 'neo-noir', 'mexican cartel', 'legal drama', 'gritty', 'offbeat', 'forceful']"
Code Geass: Lelouch of the Rebellion,31724,"[16, 10765, 10759, 18]","['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure', 'Drama']",['JP'],ja,2006-10-05,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...","['ideology', 'war strategy', 'politics', 'mind control', 'mecha', 'giant robot', 'political intrigue\xa0', 'military', 'ethical dilemma', 'tyranny', 'anime', 'real robot', 'war', 'antihero', 'anti-imperialism']"
Game of Thrones,1399,"[10765, 18, 10759]","['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",['US'],en,2011-04-17,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","['based on novel or book', 'kingdom', 'dragon', 'king', 'intrigue', 'fantasy world']"
Invincible,95557,"[16, 18, 10765, 10759]","['Animation', 'Drama', 'Sci-Fi & Fantasy', 'Action & Adventure']",['US'],en,2021-03-25,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father's tutelage.","['anti hero', 'superhero', 'based on comic', 'alien', 'gore', 'super power', 'adult animation', 'teen superhero', 'intense']"
Re: Zero - Starting Life in Another World,65942,"[16, 10759, 10765, 18, 9648]","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Drama', 'Mystery']",['JP'],ja,2016-04-04,"Natsuki Subaru, an ordinary high school  student, is on his way home from the convenience store when he finds  himself transported to another world. As he's lost and confused in a new  world where he doesn't even know left from right, the only person to  reach out to him was a beautiful girl with silver hair. Determined to  repay her somehow for saving him from his own despair, Subaru agrees to  help the girl find something she's looking for.","['magic', 'trauma', 'time travel', 'reincarnation', 'supernatural', 'gore', 'tragedy', 'time loop', 'fate', 'parallel world', 'death', 'mutilation', 'medieval', 'angst', 'loop', 'anime', 'bishoujo', 'butterfly effect', 'isekai', 'parallel universe', 'based on light novel']"
Regular Show,31132,"[16, 35, 10759, 10765]","['Animation', 'Comedy', 'Action & Adventure', 'Sci-Fi & Fantasy']",['US'],en,2010-09-06,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,"['time travel', 'racoon', 'slacker', 'anthropomorphism', 'park', 'high school friends']"
Mr. Robot,62560,"[80, 18]","['Crime', 'Drama']",['US'],en,2015-06-24,"A young programmer, Elliot, suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot finds himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.","['hacker', 'secret society', 'childhood trauma', 'psychological thriller', 'social anxiety', 'nature of reality', 'complex']"
Star Wars: The Clone Wars,4194,"[10759, 10765, 16]","['Action & Adventure', 'Sci-Fi & Fantasy', 'Animation']",['US'],en,2008-10-03,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.","['space opera', '3d animation', 'excited']"
